,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
3,85902,https://www.airbnb.com/rooms/85902,20240928012050,2024-09-28,previous scrape,"Eclectic design home, super central","Discount on longer stays - Super central location in walking distance to central station. Creative design apartment in a classic building with original floor and details. With a cosy balcony! Centrally located in the eastern part of the city Grønland/Tøyen/Gamlebyen, in a neighbourhood that is colorful and diverse with foreign grocery stores and funky hipster cafes and restaurants. Appeared in several interior design magazines and TV programs.","A very central location on the east side of town at Grønland/Tøyen. This is a diverse and colorful part of town. Trendy and up and coming. A lot of nice places to explore in the neigbourhood, Munch Museum, Botanical Garden, the main street at Gronland has many cool places to go out and grab a bite to eat. Also close to the Ekeberg sculpture park and the BARCODE area where the Opera house. If you want to live where the high end fashion stores are, you need to get a location on the west side. :) In my neighbourhood you find the best indian curry dishes! Great beer places! And the best backyard gardens to go party in in the evening or enjoy a good lunch.",https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6ODU5MDI%3D/original/e065ddad-3318-486a-b93b-7a9535fa9202.jpeg,250159,https://www.airbnb.com/users/show/250159,Melissa,2010-10-01,"Oslo, Norway","A creative urban girl from Oslo, but a citizen of the world. 41 years old. Love to travel, see new places and meet new people. And I think Airbnb is such a great way to explore the world. 
 
Designer by heart. Working as a freelance as a Photographer, Content Creator, Social Media Manager and graphic designer. 
 
My other interest: Architecture, design, foodie, music, art and culture. 
 
I love my city and would be more than happy to share tips on where to go and what to do here in town. If you are planning a trip to Norway with more stops than Oslo, let me know. I am happy to help you plan your trip with great tips on things to see and do in our beautiful country. ",within an hour,100%,96%,t,https://a0.muscache.com/im/pictures/user/8262eb04-9870-4e70-affa-1c2d8e5faa73.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/8262eb04-9870-4e70-affa-1c2d8e5faa73.jpg?aki_policy=profile_x_medium,Gamle Oslo,3,3,"['email', 'phone', 'work_email']",t,t,"Oslo, Norway",Gamle Oslo,,59.91074,10.77232,Entire condo,Entire home/apt,4,,1 bath,2.0,,"[""Wine glasses"", ""Room-darkening shades"", ""Cooking basics"", ""Essentials"", ""Outdoor furniture"", ""Freezer"", ""Long term stays allowed"", ""VIFA Bluetooth sound system"", ""Dedicated workspace"", ""Refrigerator"", ""First aid kit"", ""Books and reading material"", ""Bed linens"", ""Exercise equipment: stationary bike, yoga mat"", ""Fire extinguisher"", ""Safe"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Washer"", ""Iron"", ""Drying rack for clothing"", ""Hot water"", ""TV"", ""Wifi"", ""Hot water kettle"", ""Hair dryer"", ""Baking sheet"", ""Private patio or balcony"", ""Shared backyard \u2013 Fully fenced"", ""Self check-in"", ""Cleaning products"", ""Coffee maker: french press, Nespresso, pour-over coffee"", ""Soap conditioner"", ""Smoke alarm"", ""Dishwasher"", ""Board games"", ""Hangers"", ""Heating"", ""Paid street parking off premises"", ""Clothing storage: closet"", ""Toaster"", ""Oven"", ""Soap body soap"", ""Kitchen"", ""Keypad"", ""Shower gel"", ""Stove"", ""Dining table"", ""Coffee"", ""Shampoo""]",,3,21,3,4,1125,1125,3.0,1125.0,,t,0,0,0,0,2024-09-28,81,4,0,2011-05-28,2024-08-03,4.77,4.78,4.58,4.74,4.84,4.49,4.7,,f,2,1,1,0,0.5
4,123041,https://www.airbnb.com/rooms/123041,20240928012050,2024-09-28,previous scrape,"Cozy room in design apartment, central east side","Welcome to a relaxing stay at a creative design apartment. It is located in the urban east part of the town Tøyen/Grønland/Gamlebyen. Super central and close to the central train and Tøyen subway.  I have been hosting since 2012, and I love sharing my local knowledge about the city, especially art, design, coffee spots and the best restaurants. The place is a perfect place to stay if you are heading to music festivals or concerts in town","A very central location on the east side of town at Grønland/Tøyen. Walking distance from the central station Oslo S (if you travel light), or 3 min on the subway direction east. This is the colourful and urban part of town. There are lots of hip places, restaurants and bars in the neighbourhood. And you are close to the Botanical Garden and the picturesque  Kampen area.  The main street at Grønland is where you will find good curry places and exotic food markets.",https://a0.muscache.com/pictures/fc30957d-cbbe-4017-bf9b-2c16f7aacdbe.jpg,250159,https://www.airbnb.com/users/show/250159,Melissa,2010-10-01,"Oslo, Norway","A creative urban girl from Oslo, but a citizen of the world. 41 years old. Love to travel, see new places and meet new people. And I think Airbnb is such a great way to explore the world. 
 
Designer by heart. Working as a freelance as a Photographer, Content Creator, Social Media Manager and graphic designer. 
 
My other interest: Architecture, design, foodie, music, art and culture. 
 
I love my city and would be more than happy to share tips on where to go and what to do here in town. If you are planning a trip to Norway with more stops than Oslo, let me know. I am happy to help you plan your trip with great tips on things to see and do in our beautiful country. ",within an hour,100%,96%,t,https://a0.muscache.com/im/pictures/user/8262eb04-9870-4e70-affa-1c2d8e5faa73.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/8262eb04-9870-4e70-affa-1c2d8e5faa73.jpg?aki_policy=profile_x_medium,Gamle Oslo,3,3,"['email', 'phone', 'work_email']",t,t,"Oslo, Norway",Gamle Oslo,,59.91253,10.77205,Private room in condo,Private room,2,,1 shared bath,,,"[""Wine glasses"", ""Room-darkening shades"", ""Cooking basics"", ""Essentials"", ""Body soap"", ""Freezer"", ""Dedicated workspace"", ""Refrigerator"", ""First aid kit"", ""Bed linens"", ""Fire extinguisher"", ""Safe"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Iron"", ""Drying rack for clothing"", ""Hot water"", ""Conditioner"", ""Coffee maker"", ""Wifi"", ""Hot water kettle"", ""Hair dryer"", ""Baking sheet"", ""Private patio or balcony"", ""Self check-in"", ""Cleaning products"", ""Smoke alarm"", ""Dishwasher"", ""Heating"", ""Hangers"", ""Paid street parking off premises"", ""Clothing storage: closet"", ""Toaster"", ""Oven"", ""Backyard"", ""Paid washer \u2013 In unit"", ""Kitchen"", ""Keypad"", ""Shower gel"", ""Stove"", ""Coffee"", ""Shampoo""]",,1,40,1,1,40,40,1.0,40.0,,t,0,0,0,0,2024-09-28,236,1,0,2011-06-16,2024-08-11,4.82,4.85,4.72,4.85,4.85,4.6,4.76,,f,2,1,1,0,1.46
11,314213,https://www.airbnb.com/rooms/314213,20240928012050,2024-09-28,city scrape,"VERY CENTRAL, peaceful  in the heart of Oslo.","Walking distance to most of the tourist attractions ,  <br />The owner is a filmmaker and photographerand ertified massage therapist. .  Complimentary coffee and tea. Fast fiber internet . Close to ""everything"". Perfect for tourist or business traveler. There are 2 guest rooms to choose from. Please get in rtouch for more information and tell which one is your choice. The room on the picture is with a desk. Some prefer another room, please ask for details or more pictures.","54, 34 busstop MØLLERVEIEN<br />37 bus stop Nordahl Bruns gate<br />ALL METRO LINES  - stop STORTINGET",https://a0.muscache.com/pictures/3358679/fb1be77c_original.jpg,1614549,https://www.airbnb.com/users/show/1614549,Peter Piotr,2012-01-16,"Oslo, Norway","Film, Tv director and producer. Owner of Interfilm.
Educated also as muscle and massage therapist.
Speaks fluent English, Norwegian, Polish, good Russian, some Spanish and little French.
Loves to travel, reading, writing, photography, movies, massage, martial arts, cooking, history, human rights, ecology, philosphy, psychology, history of art and more...",within an hour,100%,95%,t,https://a0.muscache.com/im/pictures/user/53fd001f-32ed-4603-9f31-bc01c1c880e7.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/53fd001f-32ed-4603-9f31-bc01c1c880e7.jpg?aki_policy=profile_x_medium,,3,3,"['email', 'phone']",t,t,"Oslo, Norway",Grünerløkka,,59.92085,10.74995,Private room in rental unit,Private room,1,1.5,1.5 shared baths,1.0,1.0,"[""Wine glasses"", ""TV with Netflix"", ""Radiant heating"", ""Cooking basics"", ""Blender"", ""Essentials"", ""Body soap"", ""Freezer"", ""Long term stays allowed"", ""Dedicated workspace"", ""Refrigerator"", ""Paid parking off premises"", ""Books and reading material"", ""Washer \u2013\u00a0In unit"", ""Bed linens"", ""Fire extinguisher"", ""Dishes and silverware"", ""Dryer \u2013\u00a0In unit"", ""Bathtub"", ""BBQ grill"", ""Iron"", ""Hot water"", ""Conditioner"", ""Wifi"", ""Hot water kettle"", ""Hair dryer"", ""Shared backyard \u2013 Fully fenced"", ""Cleaning products"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Dishwasher"", ""Hangers"", ""Coffee maker: pour-over coffee"", ""Host greets you"", ""Shower gel"", ""Oven"", ""Pets allowed"", ""Kitchen"", ""Portable heater"", ""Ethernet connection"", ""Portable fans"", ""Extra pillows and blankets"", ""Stove"", ""Coffee"", ""Shampoo""]",$571.00,5,365,5,5,365,365,5.0,365.0,,t,8,12,31,306,2024-09-28,126,4,0,2012-02-20,2024-06-21,4.79,4.73,4.75,4.89,4.92,4.85,4.76,,f,2,0,2,0,0.82
44,1342358,https://www.airbnb.com/rooms/1342358,20240928012050,2024-09-28,city scrape,Private room with mini kitchen in prime location,"Private room with your own mini kitchen inside my apartment. You share the bathroom with me if I am at home. I might not be as I travel a great deal. Location is smack in the middle of Oslo, in vibrant hipster area Grunerlokka. Airport bus stops 50 meters away.","Grünerlokka is a happening and creative neighborhood with all you could wish for in terms of cafes, art galleries, shops and parks in the area.",https://a0.muscache.com/pictures/miso/Hosting-1342358/original/9f327d2e-7c74-461a-9781-86495dea7902.jpeg,7280460,https://www.airbnb.com/users/show/7280460,Nina,2013-07-04,"Oslo, Norway","I love travel, music, dancing and cooking. I travel frequently to Cuba and also have an Airbnb there there. I work as a consultant, primarily with leadership and organisational development",within a few hours,100%,80%,t,https://a0.muscache.com/im/pictures/user/5a09609b-17f9-45d4-bfb9-5d45c917308e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/5a09609b-17f9-45d4-bfb9-5d45c917308e.jpg?aki_policy=profile_x_medium,,1,2,"['email', 'phone']",t,t,"Oslo, Norway",Grünerløkka,,59.92860412597656,10.761544227600098,Private room in condo,Private room,2,1.0,1 private bath,1.0,1.0,"[""Wine glasses"", ""Cooking basics"", ""Essentials"", ""Freezer"", ""Long term stays allowed"", ""Dedicated workspace"", ""Refrigerator"", ""Paid parking off premises"", ""Bed linens"", ""Fire extinguisher"", ""Dishes and silverware"", ""Stove"", ""Free washer \u2013 In unit"", ""Iron"", ""Drying rack for clothing"", ""Hot water"", ""Wifi"", ""Shared backyard \u2013 Fully fenced"", ""Smoke alarm"", ""Heating"", ""Hangers"", ""Mini fridge"", ""Clothing storage: closet"", ""Microwave"", ""Host greets you"", ""Lock on bedroom door"", ""Kitchen"", ""Extra pillows and blankets"", ""Exercise equipment: free weights, yoga mat"", ""Dining table""]",$518.00,2,15,2,2,15,15,2.0,15.0,,t,4,8,8,8,2024-09-28,233,12,3,2013-08-27,2024-09-23,4.77,4.85,4.76,4.89,4.89,4.86,4.76,,f,1,0,1,0,1.73
49,1525951,https://www.airbnb.com/rooms/1525951,20240928012050,2024-09-28,city scrape,Majorstuen- 100 meter unna Bogstadveien,"Charming apartment central at Majorstua one of Oslo nice areas, only 300 meters  from Bogstadveien.<br />Full equipment for the apartment and the kitchen, ventilation, high speed internet 100/20 MB, wood floor, sentral, still view to Trudvangveien.<br /><br />The appartment is includes bedsheets, bed linens and towels. Dishes, pot, pan and everything you need is also inside the apartment.<br /><br />Late check inn is possible if you take the keys out of a code box.",Central located in the heart of Oslo west. Majorstua has a big tube busses and tram station. Only 300 meters to Bogstadveien shopping and nightlife area in Hegdehaugsveien.<br />The famous Vigelandsparken is also only 700 meters away. <br />The apartment is in Majorstuen. This is the western part of the city centre. T The centre of the city centre is 2500 meters away. <br />The Oslofjord and Grünerløkka is also only 15 minutes. walk under.,https://a0.muscache.com/pictures/f3de3c27-7ac6-4ca7-94d0-670fe1f5aff2.jpg,8141989,https://www.airbnb.com/users/show/8141989,Nicolas,2013-08-13,"Oslo, Norway","I am from Hamburg in Germany, but i have lived the last 20 years in Oslo. I will help my guests with personal tips for Oslo.
I speak Norwegian, English and German and understand some french.

I know the city really good after 20 years and can help you with restaurant, shopping, clubs and bars, and also the exiting nature.
",within an hour,100%,92%,f,https://a0.muscache.com/im/pictures/user/cd3c5ff1-1ab8-4765-9bff-ff5a992a4eb4.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/cd3c5ff1-1ab8-4765-9bff-ff5a992a4eb4.jpg?aki_policy=profile_x_medium,,2,6,"['email', 'phone']",t,t,"Oslo, Norway",Frogner,,59.93033,10.72011,Entire rental unit,Entire home/apt,3,1.0,1 bath,0.0,2.0,"[""Bauknecht  induction stove"", ""Outlet covers"", ""Cooking basics"", ""Essentials"", ""Dedicated workspace"", ""Refrigerator"", ""Bed linens"", ""Fire extinguisher"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Lockbox"", ""Free washer \u2013 In unit"", ""Iron"", ""Hot water"", ""Coffee maker"", ""Hair dryer"", ""Shared backyard \u2013 Fully fenced"", ""Outdoor dining area"", ""Wifi \u2013 20 Mbps"", ""Self check-in"", ""Paid parking on premises"", ""Smoke alarm"", ""Dishwasher"", ""Heating"", ""Hangers"", ""Oven"", ""Kitchen"", ""Free dryer \u2013 In unit""]",$645.00,1,1125,1,1,1125,1125,1.0,1125.0,,t,13,31,58,148,2024-09-28,263,24,3,2013-08-19,2024-09-19,4.55,4.67,4.46,4.77,4.85,4.85,4.58,,f,1,1,0,0,1.94
66,1892682,https://www.airbnb.com/rooms/1892682,20240928012050,2024-09-28,city scrape,"Sentralt rom, eget bad. 9 min fra sentralstasjonen","Very central room is rented out with access to a private small bathroom with a shower, toilet and a wash. Workspace, internet. The bed is 1.40 wide. Smart TV in room with HBO. Code lock on the door. <br /><br />The apartment is located 9 minutes from Oslo Central Station and Karl Johan street. All amenities right on the doorstep, shops, restaurants and nightlife venues.",The apartment is very central with short distance to public transport and train/ bus station. There are cafes and restaurants just outside the door. A few minutes walk to Karl johans street one way and grunerløkka the other way. Everything you need in the immediate vicinity. Akerselva which is a nice area to hike is a couple of minutes away from home,https://a0.muscache.com/pictures/d77d6f06-e9ba-4da6-98e4-b03d3f7fc6b3.jpg,9837995,https://www.airbnb.com/users/show/9837995,Mandy,2013-11-05,"Oslo, Norway",,within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/User-9837995/original/74a4c48e-2809-432b-8ef2-c9b8a74ea390.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-9837995/original/74a4c48e-2809-432b-8ef2-c9b8a74ea390.jpeg?aki_policy=profile_x_medium,,2,2,['phone'],t,t,"Grünerløkka, Oslo, Norway",St. Hanshaugen,,59.9164641,10.7511729,Private room in condo,Private room,2,1.0,1 private bath,1.0,1.0,"[""Radiant heating"", ""Bed linens"", ""TV"", ""Fire extinguisher"", ""Wifi"", ""Hair dryer"", ""Lock on bedroom door"", ""Essentials"", ""Pets allowed"", ""Body soap"", ""Self check-in"", ""Keypad"", ""Dedicated workspace"", ""Shower gel"", ""Smoke alarm"", ""Hot water"", ""Conditioner"", ""Shampoo""]",$750.00,1,30,1,1,30,30,1.0,30.0,,t,0,0,17,17,2024-09-28,123,92,7,2023-06-09,2024-09-15,4.98,4.96,5.0,4.96,5.0,4.98,4.93,,f,2,1,1,0,7.72
104,3008835,https://www.airbnb.com/rooms/3008835,20240928012050,2024-09-28,city scrape,Very central! In the heart of Oslo!,One room in a 5-room appartment . <br />Sometimes (subject of avaiability) you can choose between one of two rooms. Please inquire before your arrival. I any times there is SHARED bathroom and kitchen. Please inform if you have animals/pets.,"""Everything"" is near by: grocery stores, coffe-shops, parks, art galleries, tourist attractions, public transport.<br /><br />    A Vegan restaurant, famous romantic restaurant Klosteret (Monastery) and reasonably priced Indian restaurant Dehli Tandori , Filippas shushi and more are within 0,5-4 minutes walk.<br /><br />    You can walk to the city center in 8 minutes, stores 1 minute, bus 1 min., underground (subway) 8 minutes.<br />    5 minutes to the Norwegian painters, Edvard Munchs grave. 12 minutes to Karl Johans gate, the main tourist and shopping street. 20 min by feet to the Royal Castlle.",https://a0.muscache.com/pictures/38601064/28b9b3c6_original.jpg,1614549,https://www.airbnb.com/users/show/1614549,Peter Piotr,2012-01-16,"Oslo, Norway","Film, Tv director and producer. Owner of Interfilm.
Educated also as muscle and massage therapist.
Speaks fluent English, Norwegian, Polish, good Russian, some Spanish and little French.
Loves to travel, reading, writing, photography, movies, massage, martial arts, cooking, history, human rights, ecology, philosphy, psychology, history of art and more...",within an hour,100%,95%,t,https://a0.muscache.com/im/pictures/user/53fd001f-32ed-4603-9f31-bc01c1c880e7.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/53fd001f-32ed-4603-9f31-bc01c1c880e7.jpg?aki_policy=profile_x_medium,,3,3,"['email', 'phone']",t,t,"Oslo, Norway",Grünerløkka,,59.91986,10.75019,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Cooking basics"", ""Essentials"", ""Outdoor furniture"", ""Freezer"", ""Long term stays allowed"", ""Dedicated workspace"", ""Refrigerator"", ""Washer \u2013\u00a0In unit"", ""Bed linens"", ""Fire extinguisher"", ""Electric stove"", ""Dishes and silverware"", ""BBQ grill"", ""Iron"", ""Hot water"", ""Conditioner"", ""Coffee maker"", ""Wifi"", ""Hair dryer"", ""Outdoor dining area"", ""Luggage dropoff allowed"", ""Dryer"", ""Smoke alarm"", ""Dishwasher"", ""Heating"", ""Paid street parking off premises"", ""Host greets you"", ""Shower gel"", ""Oven"", ""Kitchen"", ""Extra pillows and blankets"", ""HDTV with Netflix"", ""Shampoo""]",$995.00,3,1125,3,3,1125,1125,3.0,1125.0,,t,29,59,89,364,2024-09-28,14,0,0,2016-07-03,2023-06-25,4.79,4.71,4.43,4.86,4.86,4.86,4.79,,f,2,0,2,0,0.14
162,4269455,https://www.airbnb.com/rooms/4269455,20240928012050,2024-09-28,city scrape,"Sagene, rolig gate, balkong og flott bakgård","Personal, and pleasant home with balcony and view towards beautiful, protected farm near Akerselva on Sagene. Quiet neighborhood. Best suited for 3 adults, or for 2 adults and 2 children. If you use a sofa and an extra mattress, it is possible for a group of friends of 6 people. Cozy backyard with trees, playground equipment and barbecue area. Walk to the city via Grünerløkka (30 min), bike (15 min) or take the bus/tram.","Vøyenløkka borttslag is called the ""interior fillet of Sagene"" on the mouths of the people. The landlord has lived here since 2001 and can guarantee a pleasant and good living environment. It is important that the tenant respects the neighbors for peace at night.",https://a0.muscache.com/pictures/f2dd4941-09d7-4c35-beed-d44db331c1cd.jpg,22164596,https://www.airbnb.com/users/show/22164596,Nina,2014-10-05,"Oslo, Norway",,,,,f,https://a0.muscache.com/im/users/22164596/profile_pic/1433711891/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/22164596/profile_pic/1433711891/original.jpg?aki_policy=profile_x_medium,Sagene,1,1,['phone'],t,t,"Oslo, Norway",Sagene,,59.93433,10.75515,Entire rental unit,Entire home/apt,4,1.0,1 bath,3.0,3.0,"[""Wine glasses"", ""Patio or balcony"", ""Cooking basics"", ""City skyline view"", ""Essentials"", ""Outdoor furniture"", ""Body soap"", ""Freezer"", ""Refrigerator"", ""First aid kit"", ""Paid parking off premises"", ""TV with standard cable"", ""Fire pit"", ""Bed linens"", ""Fire extinguisher"", ""Safe"", ""Dishes and silverware"", ""Bathtub"", ""BBQ grill"", ""Iron"", ""Drying rack for clothing"", ""Piano"", ""Children\u2019s books and toys"", ""Park view"", ""Hot water"", ""Conditioner"", ""Courtyard view"", ""Wifi"", ""Hot water kettle"", ""Hair dryer"", ""Shared backyard \u2013 Fully fenced"", ""Outdoor dining area"", ""Cleaning products"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Dishwasher"", ""Heating"", ""Hangers"", ""Mini fridge"", ""Microwave"", ""Coffee maker: pour-over coffee"", ""Host greets you"", ""Shower gel"", ""Oven"", ""Kitchen"", ""Garden view"", ""Free washer \u2013 In building"", ""High chair"", ""Extra pillows and blankets"", ""Stove"", ""Dining table"", ""Shampoo""]","$1,900.00",2,1125,2,2,1125,1125,2.0,1125.0,,t,0,0,0,7,2024-09-28,16,0,0,2014-11-02,2023-01-06,4.81,4.88,4.75,4.81,5.0,4.69,4.88,,f,1,1,0,0,0.13
228,6435945,https://www.airbnb.com/rooms/6435945,20240928012050,2024-09-28,city scrape,Familie house by the river,"Familie house in beautiful surroundings. Five bedrooms, two bathrooms, open modern kitchen, veranda, terasse garden with fireplace, big table and coach. The area is quiet and with no traffic, with direct access to forest and a river ideal for playing and swimming. Shop and playground in the neighbourhood. 5 minutes walk to metro with 10 minutes journey to Majorstuen station. Fully equipped kitchen, working area, dinner table for 10 persons.","Child-friendly area in Oslo, at the entrance to the field. Here you can find hiking and ski areas, forest trails along the river, Bogstadvannet with beach and swimming opportunities, playgrounds and green spaces. Røa city centre is within walking distance, where you will find a rich selection of stores, restaurants, wine monopoly, swimming pool, bakery and more. The metro is 5 mins away and takes you to the centre of Oslo in 15 mins. The house is located in a very pleasant and child-friendly road with a kindergarten as the closest neighbor.",https://a0.muscache.com/pictures/miso/Hosting-6435945/original/1707e388-d340-496e-ba03-b519d56241ba.jpeg,33596585,https://www.airbnb.com/users/show/33596585,Nina,2015-05-17,"Oslo, Norway",,,,50%,f,https://a0.muscache.com/im/pictures/user/f7d7c294-a090-4f97-8d4c-9a32030a982c.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/f7d7c294-a090-4f97-8d4c-9a32030a982c.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Røa, Oslo, Norway",Vestre Aker,,59.95369,10.63435,Entire home,Entire home/apt,9,2.0,2 baths,5.0,5.0,"[""Wine glasses"", ""Waterfront"", ""Room-darkening shades"", ""Cooking basics"", ""Clothing storage"", ""Essentials"", ""Outdoor furniture"", ""Body soap"", ""Indoor fireplace"", ""Free street parking"", ""Freezer"", ""Dedicated workspace"", ""Refrigerator"", ""Free parking on premises"", ""Lake access"", ""First aid kit"", ""TV with standard cable"", ""Fire pit"", ""Bed linens"", ""Fire extinguisher"", ""Dishes and silverware"", ""Shampoo"", ""Bathtub"", ""Lockbox"", ""BBQ grill"", ""Washer"", ""Iron"", ""Drying rack for clothing"", ""Piano"", ""Hot water"", ""Conditioner"", ""Wifi"", ""Hot water kettle"", ""Hair dryer"", ""Baking sheet"", ""Private patio or balcony"", ""Outdoor dining area"", ""Self check-in"", ""Cleaning products"", ""Dryer"", ""Smoke alarm"", ""Dishwasher"", ""Heating"", ""Hangers"", ""Hammock"", ""Microwave"", ""Toaster"", ""Outdoor playground"", ""Sun loungers"", ""Oven"", ""Barbecue utensils"", ""Pets allowed"", ""Kitchen"", ""Induction stove"", ""Shower gel"", ""Dining table"", ""Coffee"", ""Garden view""]","$4,500.00",2,14,2,2,14,14,2.0,14.0,,t,23,53,83,358,2024-09-28,1,0,0,2023-07-03,2023-07-03,5.0,5.0,4.0,5.0,5.0,5.0,4.0,,f,1,1,0,0,0.07
518,13876115,https://www.airbnb.com/rooms/13876115,20240928012050,2024-09-28,previous scrape,"Charming apartment, good standard and balcony",Spaceous apartment w/ good standard central in Oslo with easy access to metro lines and 10 minutes to city centre. Calm and nice area. No pets allowed. Smoking only on the balcony. 5 minutes to supermarket. 1 bedroom available.,,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTM4NzYxMTU%3D/original/e72155d1-50e8-4796-909a-40600d2b212e.jpeg,81717854,https://www.airbnb.com/users/show/81717854,Nina,2016-07-04,"Oslo, Norway",,within an hour,100%,50%,f,https://a0.muscache.com/im/pictures/user/81d99b68-7fb8-4f97-91af-c81947ec1ec8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/81d99b68-7fb8-4f97-91af-c81947ec1ec8.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,Alna,,59.91446,10.81346,Entire condo,Entire home/apt,3,,1 bath,1.0,,"[""Wine glasses"", ""Other stove"", ""Room-darkening shades"", ""Cooking basics"", ""Blender"", ""Essentials"", ""Body soap"", ""Indoor fireplace"", ""Freezer"", ""Refrigerator"", ""Smart lock"", ""Bed linens"", ""Fire extinguisher"", ""Safe"", ""Dishes and silverware"", ""Crib - always at the listing"", ""Washer"", ""Hot water"", ""Conditioner"", ""TV"", ""Wifi"", ""Hot water kettle"", ""Hair dryer"", ""Private patio or balcony"", ""Self check-in"", ""Cleaning products"", ""Paid parking on premises"", ""Smoke alarm"", ""Dishwasher"", ""Heating"", ""Sonos Bluetooth sound system"", ""Toaster"", ""Oven"", ""Kitchen"", ""Extra pillows and blankets"", ""Dining table"", ""Coffee"", ""Shampoo""]",,6,1125,6,6,1125,1125,6.0,1125.0,,t,0,0,0,0,2024-09-28,1,1,1,2024-09-14,2024-09-14,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0,1.0
