,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
0,1134705943340042285,https://www.airbnb.com/rooms/1134705943340042285,20240928012050,2024-09-28,previous scrape,Fin enebolig i utkanten av Oslo,"From this central accommodation, the whole group has easy access to whatever it may be.<br />Free parking. Bus/rail to city center (25-30 min)<br />Located by the field and is a good starting point for nice experiences in Oslo.<br />Bra base for Norway cup.<br />Nice outdoor area with gas grill.",,https://a0.muscache.com/pictures/hosting/Hosting-1134705943340042285/original/af52e70e-ae67-4ada-a4b4-5376eecdc3f4.jpeg,18365661,https://www.airbnb.com/users/show/18365661,Lars Kristian,2014-07-19,"Oslo, Norway",,within a day,100%,100%,f,https://a0.muscache.com/im/pictures/user/0e9f4ded-09d9-4277-aef3-72c8981210d2.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/0e9f4ded-09d9-4277-aef3-72c8981210d2.jpg?aki_policy=profile_x_medium,,1,2,['phone'],t,t,,Alna,,59.91026541274373,10.862719094205644,Entire home,Entire home/apt,6,,2.5 baths,3.0,,"[""Wine glasses"", ""Free parking on premises"", ""Lake access"", ""Fire pit"", ""Fire extinguisher"", ""Dishes and silverware"", ""BBQ grill"", ""Washer"", ""Hot water"", ""TV"", ""Wifi"", ""Private patio or balcony"", ""Outdoor dining area"", ""Self check-in"", ""Smoke alarm"", ""Heating"", ""Kitchen"", ""Keypad"", ""Outdoor furniture""]",,7,14,7,7,14,14,7.0,14.0,,t,0,0,0,0,2024-09-28,1,1,0,2024-08-03,2024-08-03,5.0,5.0,4.0,5.0,5.0,5.0,5.0,,f,1,1,0,0,0.53
2,71725,https://www.airbnb.com/rooms/71725,20240928012050,2024-09-28,city scrape,Central big room - ap with balcony,"A bargain in Oslo!!<br />Room in new and fully furnitured apartement with waching mashine, dishwasher, microwave, dishes, bedding, dunes, towels, internet access, a small balcony and so on... all you need for a nice time in the capitol of Norway.","The apartment is situated in the eastern part of Oslo. Vålerenga is a charming part of Oslo with small restaurants and local bars, idyllic wooden buildings and beautiful Vålerenga park where the locals like to gather for picnics and sun bathing. The neighborhood is nice, urban and diverse. It is a quiet but central area of Oslo. This area is populated by a lovely mix of students, couples and families - young and old from all over the world. <br />Right outside the apartment there are various grocery stores, even one which is open on Sundays. If you dont want to do the cooking I have an excellent sushi place across the road. I also have a pizza place, a spanish tapas place and three pubs around the corner. If you walk 10 minutes from my area you will find a never-ending story of various shops, restaurants and bars as you get closer to downtown.",https://a0.muscache.com/pictures/468893/9c819069_original.jpg,368229,https://www.airbnb.com/users/show/368229,Reidun,2011-01-30,"Oslo, Norway",I am a social 59 year old woman. Take a look at my guests reviews to learn more about me :-),within a day,100%,71%,f,https://a0.muscache.com/im/pictures/user/User-368229/original/9d00ee0b-e41a-411d-aedb-5442286c95a3.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-368229/original/9d00ee0b-e41a-411d-aedb-5442286c95a3.jpeg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Oslo, Norway",Gamle Oslo,,59.90795,10.77987,Private room in rental unit,Private room,2,1.0,1 bath,1.0,2.0,"[""Wine glasses"", ""Cooking basics"", ""Blender"", ""Essentials"", ""Outdoor furniture"", ""Body soap"", ""Free street parking"", ""Freezer"", ""Long term stays allowed"", ""Dedicated workspace"", ""Refrigerator"", ""First aid kit"", ""Books and reading material"", ""Elevator"", ""Bed linens"", ""Fire extinguisher"", ""Electric stove"", ""Safe"", ""Dishes and silverware"", ""Stainless steel oven"", ""BBQ grill"", ""Washer"", ""Iron"", ""Shared patio or balcony"", ""Drying rack for clothing"", ""Hot water"", ""Coffee maker"", ""Wifi"", ""Hot water kettle"", ""Hair dryer"", ""Baking sheet"", ""Shared backyard \u2013 Fully fenced"", ""Cleaning available during stay"", ""Outdoor dining area"", ""Pocket wifi"", ""Cleaning products"", ""Luggage dropoff allowed"", ""Single level home"", ""Smoke alarm"", ""Dishwasher"", ""Heating"", ""Hangers"", ""Microwave"", ""Toaster"", ""Sun loungers"", ""Shower gel"", ""Barbecue utensils"", ""Clothing storage: closet and wardrobe"", ""Pets allowed"", ""Kitchen"", ""Ethernet connection"", ""Portable fans"", ""Extra pillows and blankets"", ""Children\u2019s dinnerware"", ""Dining table"", ""Coffee"", ""Shampoo""]",$586.00,14,730,14,14,730,730,14.0,730.0,,t,2,29,59,334,2024-09-28,56,2,0,2011-02-15,2024-05-15,4.75,4.69,4.78,4.98,4.94,4.71,4.8,,f,1,0,1,0,0.34
9,275790,https://www.airbnb.com/rooms/275790,20240928012050,2024-09-28,city scrape,"Peaceful, central with balcony.","Situated in a safe, quiet and central area of Oslo in a cosy neighbourhood by the picturesque Akerselva-river. My condA short walk from the lively Grünerløkka-area, and close by public transport.","Groceries: <br />There is a small Joker convenience store around the corner, for basic odd hours shopping. <br />Super-markets: <br />Meny Ringnes Park, Sannergata 6C ( 400 m)<br />Coop Mega Alexander Kiellands Plass, Waldemar Thranes gate 72  (350 m)<br />REMA 1000 Darres Gate , Darres gate 2 (300m).<br /><br />Cinema:  Ringen Kino ( 700 meters) <br /><br />Playground. There is a huge playground in the Iladalen Park for kids. There is also a small area to play in the backyard.<br /><br />Running/ Biking. Run up and down along the river. You can follow the river all the way up to the Nordmarka forest and Maridalsvannet (5-6 km) and from there you can run as long as you like in the first. <br /><br />Hiking: take the  51 bus from Alexander kiellends plass towards Maridalen and get off at Brekkekrysset, Hammern, or Skaret. (email me for recommadations and more details)",https://a0.muscache.com/pictures/miso/Hosting-275790/original/9693a8a6-bd32-4ee7-ba13-a2c6a40ab0ef.jpeg,793479,https://www.airbnb.com/users/show/793479,Espen,2011-07-08,"Berlin, Germany","An early Airbnb adopter in Norway - living in Oslo and Berlin. 

I love travel, tech and running. When I'm not out discovering new places or pounding the pavement, you'll find me brainstorming on my latest startup project. 

Non-smoker, reliable in payments, and always mindful of others' spaces. I genuinely enjoy meeting new people through Airbnb, either as a host or a guest. 

Can't wait for the next adventure.",within a day,100%,63%,t,https://a0.muscache.com/im/users/793479/profile_pic/1310131981/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/793479/profile_pic/1310131981/original.jpg?aki_policy=profile_x_medium,Sagene,1,1,"['email', 'phone', 'work_email']",t,t,"Oslo, Norway",Sagene,,59.93061,10.75375,Entire condo,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Wine glasses"", ""Radiant heating"", ""Room-darkening shades"", ""Cooking basics"", ""Blender"", ""Essentials"", ""Outdoor furniture"", ""Body soap"", ""Freezer"", ""Long term stays allowed"", ""Refrigerator"", ""First aid kit"", ""Paid parking off premises"", ""Books and reading material"", ""Bed linens"", ""Fire extinguisher"", ""Shared backyard \u2013 Not fully fenced"", ""Dishes and silverware"", ""Shampoo"", ""Carbon monoxide alarm"", ""EV charger"", ""Free washer \u2013 In unit"", ""BBQ grill"", ""Iron"", ""Drying rack for clothing"", ""Hot water"", ""Electrolux electric stove"", ""Coffee maker"", ""Exercise equipment"", ""Wifi"", ""Hot water kettle"", ""Hair dryer"", ""Baking sheet"", ""Private patio or balcony"", ""Outdoor dining area"", ""Rice maker"", ""Cleaning products"", ""Paid parking on premises"", ""Luggage dropoff allowed"", ""Single level home"", ""Smoke alarm"", ""Dishwasher"", ""HDTV with Apple TV"", ""Hangers"", ""Central heating"", ""Microwave"", ""Outdoor playground"", ""Host greets you"", ""Oven"", ""Outdoor kitchen"", ""Clothing storage: closet and wardrobe"", ""Kitchen"", ""Free dryer \u2013 In unit"", ""Ethernet connection"", ""Extra pillows and blankets"", ""Garden view""]",$962.00,13,1125,13,21,1125,1125,14.8,1125.0,,t,0,26,56,331,2024-09-28,22,5,1,2012-01-10,2024-09-26,4.86,4.82,4.77,5.0,4.91,4.86,4.82,,f,1,1,0,0,0.14
14,500008,https://www.airbnb.com/rooms/500008,20240928012050,2024-09-28,previous scrape,"10 min to Oslo Central Station, Garden Fjord view","Located on a hill in a lush green garden, less than a 10 min bus ride from the city. Enjoy the beauty of the fjord on a sunny  day from the garden or the amazing winter sunsets over the fjord.","Nedre Bekkelaget is a quiet traditional neighbourhood. Although the scenery is green and there is a small forest right next to the property, you are only 2 stops by bus (less than 10 min) away from Oslo's Central station (sentralstation) and the newly developed and waterfront areas buzzing with restaurants and cultural places like the Norwegian Opera and Ballet, the new Munch Museum, the new National Library etc.",https://a0.muscache.com/pictures/4d59b805-bafe-4c93-a789-78de0aa99379.jpg,2381047,https://www.airbnb.com/users/show/2381047,Volkolas,2012-05-15,"Oslo, Norway","We're from NY and Berlin, living in Oslo and loving the warm-hearted but really cool people of Norway. We love the closeness to nature and the progress-embracing optimism of the Norwegians to new developments. Norwegians are the real world-people and the city is a melting pot where different nations not only live next to each other but together. ",within a day,100%,0%,f,https://a0.muscache.com/im/users/2381047/profile_pic/1337110491/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2381047/profile_pic/1337110491/original.jpg?aki_policy=profile_x_medium,Nordstrand,1,3,"['email', 'phone']",t,t,"Oslo, Norway",Nordstrand,,59.88523,10.76879,Entire rental unit,Entire home/apt,2,,1 bath,1.0,,"[""Cooking basics"", ""Essentials"", ""Long term stays allowed"", ""Free parking on premises"", ""Refrigerator"", ""First aid kit"", ""Bed linens"", ""Fire extinguisher"", ""Dishes and silverware"", ""Lockbox"", ""EV charger"", ""Washer"", ""Hot water"", ""Coffee maker"", ""TV"", ""Wifi"", ""Hair dryer"", ""Self check-in"", ""Single level home"", ""Dryer"", ""Smoke alarm"", ""Dishwasher"", ""Heating"", ""Hangers"", ""Microwave"", ""Shower gel"", ""Oven"", ""Backyard"", ""Kitchen"", ""Ethernet connection"", ""Extra pillows and blankets"", ""Stove"", ""Private entrance"", ""Shampoo""]",,2,90,2,2,90,90,2.0,90.0,,t,0,0,0,0,2024-09-28,104,0,0,2012-08-05,2019-11-08,4.74,4.8,4.84,4.87,4.91,4.58,4.74,,f,1,1,0,0,0.7
19,724117,https://www.airbnb.com/rooms/724117,20240928012050,2024-09-28,city scrape,Central Oslo / St. Hanshaugen / Quiet / Cosy,"Peaceful accommodation with a central location on Valleløkken/ St. Hanshaugen. Lovely and calm in Oslo's finest area.<br />Apartment located on the 2nd floor.<br /><br />• KIWI and Joker food just around the corner<br />• 2 mins to Open Bakery<br />• 2 min. walking distance to the Idiot park with football field and play area for bosom<br />• 2 min. to the 37 bus <br />• 5 min walking distance to St.Hanshaugen park<br />• Short distance to everything Bogstaveien, Sentrum, Frognerparken etc.","Quiet, green, cozy, kids friendly.",https://a0.muscache.com/pictures/miso/Hosting-724117/original/561ddc32-5d0a-4259-9229-a4229a84ed67.jpeg,2425978,https://www.airbnb.com/users/show/2425978,Kjersti,2012-05-21,"Oslo, Norway",,within a day,100%,33%,f,https://a0.muscache.com/im/users/2425978/profile_pic/1337596406/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2425978/profile_pic/1337596406/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Sankt Hanshaugen, Oslo, Norway",St. Hanshaugen,,59.93254,10.73999,Entire condo,Entire home/apt,4,1.0,1 bath,3.0,3.0,"[""Wine glasses"", ""Radiant heating"", ""Cooking basics"", ""City skyline view"", ""Essentials"", ""Dedicated workspace"", ""Refrigerator"", ""Indoor fireplace: wood-burning"", ""First aid kit"", ""Bed linens"", ""Fire extinguisher"", ""Safe"", ""Dishes and silverware"", ""Bathtub"", ""Free washer \u2013 In unit"", ""Iron"", ""Drying rack for clothing"", ""Children\u2019s books and toys"", ""Hot water"", ""Coffee maker"", ""Exercise equipment"", ""Wifi"", ""Hair dryer"", ""Shared backyard \u2013 Fully fenced"", ""Outdoor dining area"", ""Cleaning products"", ""Paid parking on premises"", ""Smoke alarm"", ""HDTV with Apple TV"", ""Paid street parking off premises"", ""Clothing storage: closet"", ""Outdoor playground"", ""Host greets you"", ""Bosch induction stove"", ""Kitchen"", ""Free dryer \u2013 In unit"", ""Children\u2019s dinnerware"", ""Dining table""]","$1,900.00",2,30,2,2,30,30,2.0,30.0,,t,1,6,17,48,2024-09-28,2,1,0,2023-08-20,2023-12-27,4.5,5.0,4.0,4.5,5.0,4.5,4.5,,f,1,1,0,0,0.15
23,773722,https://www.airbnb.com/rooms/773722,20240928012050,2024-09-28,city scrape,Oslo City Apt in the heart of Oslo,"5-room Modern Apt, for 9 persons; situated in a unique area i.e <br /> the heart of the city, yet it is very homely. A newly built apt. Just few minutes walk from Oslo central station, close walking distance to Gardens, walking distance to everything centrally. Bus service 24 hrs .Great eat out places.<br />This is an apt perfect for business travellers, or tourist that want to experience the heart of Oslo. Everything is available in walking distance, plus a 24 hrs corner shop.","Its a very central area, and its in central Oslo, close to everything. Yet very quite, it gives a feelings of peace.",https://a0.muscache.com/pictures/10921567/e76740d0_original.jpg,1386261,https://www.airbnb.com/users/show/1386261,Gangadai,2011-11-08,"Oslo, Norway","Being a social person, I also love to meet people. I have lived in Oslo for over  40 yrs and would say that I dearly love the city life of Oslo,  nature, the ocean, being social and meeting people, is the spice of my life. I have done some traveling to the USA, Canada, Germany, London, Sweden, Brasil, the Carribbean, Guyana is my birth country. I love travelling,music ,all sorts of food. It enjoy meeting people, and seeing smiles from their heart",within a day,100%,86%,f,https://a0.muscache.com/im/pictures/user/2ac0cec7-85b7-4539-9646-d94fa9e66bb6.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/2ac0cec7-85b7-4539-9646-d94fa9e66bb6.jpg?aki_policy=profile_x_medium,,5,8,"['email', 'phone']",t,t,"Oslo, Norway",Gamle Oslo,,59.91318,10.76433,Entire rental unit,Entire home/apt,9,1.0,1 bath,4.0,7.0,"[""Wine glasses"", ""Waterfront"", ""Room-darkening shades"", ""Cooking basics"", ""Clothing storage"", ""Essentials"", ""Outdoor furniture"", ""Body soap"", ""Double oven"", ""Freezer"", ""Long term stays allowed"", ""Dedicated workspace"", ""Refrigerator"", ""Lake access"", ""First aid kit"", ""Books and reading material"", ""TV with standard cable"", ""Bed linens"", ""Fire extinguisher"", ""Electric stove"", ""Safe"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Lockbox"", ""Free washer \u2013 In unit"", ""Iron"", ""Laundromat nearby"", ""Drying rack for clothing"", ""Hot water"", ""Coffee maker"", ""Pack \u2019n play/Travel crib"", ""Wifi"", ""Hair dryer"", ""Hot water kettle"", ""Private patio or balcony"", ""Self check-in"", ""Cleaning products"", ""Paid parking on premises"", ""Smoke alarm"", ""Dishwasher"", ""Heating"", ""Hangers"", ""Beach access \u2013 Beachfront"", ""Paid parking garage off premises"", ""Microwave"", ""Shower gel"", ""Window guards"", ""Kitchen"", ""Ethernet connection"", ""Extra pillows and blankets"", ""Dining table"", ""Coffee""]","$3,393.00",1,365,1,1,365,365,1.0,365.0,,t,29,55,85,360,2024-09-28,116,9,0,2012-12-03,2024-08-15,4.63,4.71,4.44,4.79,4.82,4.77,4.55,,f,3,3,0,0,0.81
41,1307404,https://www.airbnb.com/rooms/1307404,20240928012050,2024-09-28,city scrape,"Spacious & central, superb kitchen!",,,https://a0.muscache.com/pictures/988beb96-e543-4f4d-857f-36ebbe01a1d4.jpg,7063146,https://www.airbnb.com/users/show/7063146,Anja,2013-06-23,"Oslo, Norway","My home is Home, with a big and colorful kitchen where I spend most of my time,  next to the botanical gardens and the metro 2 minutes away. I keep it clean and tidy, and hope that future guests will too!",within a day,100%,0%,f,https://a0.muscache.com/im/pictures/user/6a0b0a8a-6600-4f95-97c9-b4c35049c3d7.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/6a0b0a8a-6600-4f95-97c9-b4c35049c3d7.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,Gamle Oslo,,59.91561,10.7741,Entire condo,Entire home/apt,3,1.0,1 bath,2.0,2.0,"[""Fire extinguisher"", ""Cooking basics"", ""Wifi"", ""Hair dryer"", ""Dishes and silverware"", ""Essentials"", ""Kitchen"", ""Cleaning products"", ""Washer"", ""Drying rack for clothing"", ""Park view"", ""Smoke alarm"", ""Hot water"", ""Garden view"", ""Heating""]","$1,200.00",3,1125,3,3,1125,1125,3.0,1125.0,,t,29,59,86,361,2024-09-28,19,0,0,2013-07-17,2023-08-13,4.79,4.95,4.79,4.95,4.95,4.79,4.79,,f,1,1,0,0,0.14
43,1340004,https://www.airbnb.com/rooms/1340004,20240928012050,2024-09-28,city scrape,"Bright&Comfy, 60sqm, 1BR, private garden","Note - minimum stay 3 weeks <br /><br />Bright, comfortable, charming with private sunny and enclosed garden. 60 sqm, 1 bedroom. <br />Charming, quiet residential neighbourhood comprised of old wooden villas, 5 min walk from ""hip"" Grunerløkka. <br />Own garden, with sun all day, helps you unwind. Its safe and enclosed, great for kids and adults alike :-)<br />Looking for responsible tenants only.",,https://a0.muscache.com/pictures/20180985/210e86de_original.jpg,7267318,https://www.airbnb.com/users/show/7267318,Orjan,2013-07-03,"Oslo, Norway","Internationally oriented guy, slightly jaded. Into international politics, development, microfinance and, indeed, corporate finance.

Love to travel - sociologial sunglasses on. A recent eye-opener was Iran. I look forward to checking out Mozambique and Columbia later this year.

My ""special place"" in Europe is Berlin. I spend as much time there as possible ;-)

Motto: I am a professional cynic, but my heart's not in it!",within a day,67%,33%,f,https://a0.muscache.com/im/users/7267318/profile_pic/1372882887/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/7267318/profile_pic/1372882887/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone', 'work_email']",t,t,,Grünerløkka,,59.9255,10.77064,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Cooking basics"", ""Essentials"", ""Free street parking"", ""Long term stays allowed"", ""Dedicated workspace"", ""Refrigerator"", ""Bed linens"", ""Dishes and silverware"", ""Bathtub"", ""BBQ grill"", ""Iron"", ""Free dryer \u2013 In building"", ""Coffee maker"", ""Wifi"", ""Shared backyard \u2013 Fully fenced"", ""Clothing storage: wardrobe"", ""Outdoor dining area"", ""Cleaning products"", ""Smoke alarm"", ""Heating"", ""Hangers"", ""Outdoor playground"", ""Kitchen"", ""Free washer \u2013 In building"", ""Outdoor furniture""]",$833.00,15,30,15,15,30,30,15.0,30.0,,t,28,58,88,88,2024-09-28,11,1,1,2013-08-11,2024-08-30,4.45,4.27,4.55,4.64,4.18,4.91,4.45,,f,1,1,0,0,0.08
45,1372955,https://www.airbnb.com/rooms/1372955,20240928012050,2024-09-28,city scrape,Charming apartment at Løkka,"Charming Apartment at Grünerløkka, very close to cafés and boutiques. Lots of light, nice view to the park with beautiful trees, mid-century style furniture. Artwork. There's no view into the apartment from any of the windows. Washing machine, dishwasher & fireplace. Common outdoor area with fireplace. 3 min from trams/buses. If you can water my plants I would be very grateful! And - the janitor lives next door, if something comes up!","The neighborhood is filled with shops and cafees, and it's extremely central.",https://a0.muscache.com/pictures/d0d37a9e-fcd3-4ab8-97bb-7079d9c43db5.jpg,43067,https://www.airbnb.com/users/show/43067,Anne Guro,2009-10-03,"Oslo, Norway","Visual artist from Norway, but studied in LA, and I miss it! Haven’t  been able to go there after the pandemic yet. I  usually travel a lot for either exhibitions abroad or  artist residencies.",within a day,70%,50%,f,https://a0.muscache.com/im/users/43067/profile_pic/1383988405/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/43067/profile_pic/1383988405/original.jpg?aki_policy=profile_x_medium,,1,2,"['email', 'phone']",t,t,"Oslo, Norway",Grünerløkka,,59.92163,10.76207,Entire condo,Entire home/apt,2,1.0,1 bath,1.0,2.0,"[""Wine glasses"", ""Cooking basics"", ""Blender"", ""Essentials"", ""Body soap"", ""Indoor fireplace"", ""Freezer"", ""Long term stays allowed"", ""Refrigerator"", ""Books and reading material"", ""TV with standard cable"", ""Bed linens"", ""Fire extinguisher"", ""Dishes and silverware"", ""Washer"", ""Drying rack for clothing"", ""Clothing storage: closet and dresser"", ""Park view"", ""Hot water"", ""Courtyard view"", ""Wifi"", ""Hot water kettle"", ""Hair dryer"", ""Shared backyard \u2013 Fully fenced"", ""Pocket wifi"", ""Cleaning products"", ""Smoke alarm"", ""Dishwasher"", ""Coffee maker: french press, pour-over coffee"", ""Heating"", ""Hangers"", ""Board games"", ""Mini fridge"", ""Private entrance"", ""Paid street parking off premises"", ""Toaster"", ""Oven"", ""Pets allowed"", ""Kitchen"", ""Stove"", ""Sound system"", ""Dining table"", ""Coffee"", ""Garden view""]","$1,043.00",5,120,5,5,120,120,5.0,120.0,,t,9,17,47,47,2024-09-28,15,6,1,2016-03-30,2024-09-20,5.0,4.87,4.8,4.87,4.8,4.93,4.93,,f,1,1,0,0,0.14
54,1580805,https://www.airbnb.com/rooms/1580805,20240928012050,2024-09-28,city scrape,Family home - west Oslo,"House located only 3km from Oslo city center & 10min walk to the Frognerpark also known as the Vigerlandspark! Perfect for 2 couples or 1 family of maximum 3 children. Close to Skøyen traffic hub (trains, busses, tram and metro line). <br /><br />3 toalettes, two showers, 1 bathtub, dining table outside on large terrace and large dining table inside. Two bedrooms for kids, 1 master bedroom. A «kjellerstue»/guestroom/home cinema. An office and wifi makes it easy to work from home.","Karenslyst allee is our nearest ""high street"" with bakery, hairdresser, shops and restaurants. Enjoy a pizza at Maschmanns on a week night and before you leave buy some delicious cheese and cured ham to take home. The Vigerlands Park is another favourite - for running or taking photos of the sculptures. There is also a massive playground for children here. Nearest cinema and bars are around Majorstua area.",https://a0.muscache.com/pictures/miso/Hosting-1580805/original/c699896a-814f-40ed-92b2-3fca4d1a6c4d.jpeg,8408057,https://www.airbnb.com/users/show/8408057,Annika,2013-08-26,"Oslo, Norway","Hello! We are the Asté-family. I am Norwegian. Met my husband, when we were both living in London. He is French. We have 2 boys. We love our home, but we also love travelling! Therefore we sometimes rent out our home, our chalet in the mountains and a flat in the city center of Oslo. ",within a day,100%,33%,f,https://a0.muscache.com/im/pictures/user/4a506019-d44c-4a37-8d1a-4fa8721f1b95.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/4a506019-d44c-4a37-8d1a-4fa8721f1b95.jpg?aki_policy=profile_x_medium,,1,5,"['email', 'phone']",t,t,"Oslo, Norway",Ullern,,59.93037,10.68359,Entire home,Entire home/apt,5,2.0,2 baths,3.0,8.0,"[""Wine glasses"", ""Define, Sunsilk and other Orkla products conditioner"", ""Cooking basics"", ""High chair - available upon request"", ""Essentials"", ""Private backyard"", ""Free street parking"", ""Long term stays allowed"", ""Free parking on premises"", ""Refrigerator"", ""Indoor fireplace: wood-burning"", ""Bed linens"", ""Fire extinguisher"", ""Dishes and silverware"", ""Bathtub"", ""Lockbox"", ""EV charger"", ""BBQ grill"", ""Washer"", ""Iron"", ""Children\u2019s books and toys"", ""Hot water"", ""Coffee maker: Keurig coffee machine"", ""Crib"", ""Wifi"", ""Private patio or balcony"", ""Hair dryer"", ""Define  and other Orkla products body soap"", ""Baking sheet"", ""Outdoor dining area"", ""Self check-in"", ""Cleaning products"", ""Dryer"", ""Smoke alarm"", ""Dishwasher"", ""Heating"", ""Hangers"", ""Game console: Nintendo Switch"", ""Toaster"", ""Oven"", ""Barbecue utensils"", ""Kitchen"", ""Outdoor furniture"", ""Stove"", ""Dining table"", ""Shampoo""]","$2,000.00",14,30,7,7,30,30,7.0,30.0,,t,0,0,8,14,2024-09-28,7,1,0,2017-07-11,2024-08-05,5.0,5.0,4.71,5.0,5.0,4.57,5.0,,f,1,1,0,0,0.08
