,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
7,174372,https://www.airbnb.com/rooms/174372,20240928012050,2024-09-28,city scrape,New spacious central 2BR w/terrace,,"The apartment is cituated in Grunerløkka, one of the most popular areas to live in Oslo due to it's central location and nice atmosphere. It is dotted with small cafés, pubs and parks. This vibrant area has its fair share of shopping, wining and dining opportunities nearby. It is comparable to West Village in New York and much more cosy than the shady down town area. Very safe as well.",https://a0.muscache.com/pictures/2267871/8fd047a8_original.jpg,114189,https://www.airbnb.com/users/show/114189,Christina,2010-04-26,"Oslo, Norway","I  love travelling, have lived abroad for years and now like to host people in my home country. My family has enjoyed staying with airbnb-host on several occations and know the concept and importance of respecting other people's privacy and property. Please see reviews of us as guests. I working in Oslo as Director with Innovation Norway, previously a Director with Ernst & Young Advisory",,,100%,f,https://a0.muscache.com/im/pictures/user/61372a64-f973-4362-bbd6-56f2e1a7a663.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/61372a64-f973-4362-bbd6-56f2e1a7a663.jpg?aki_policy=profile_x_medium,Nordstrand,2,2,"['email', 'phone']",t,t,"Oslo, Norway",Sagene,,59.93024,10.75964,Entire rental unit,Entire home/apt,6,1.0,1 bath,5.0,3.0,"[""Patio or balcony"", ""Outlet covers"", ""Room-darkening shades"", ""Baby safety gates"", ""Cooking basics"", ""Essentials"", ""Air conditioning"", ""Long term stays allowed"", ""Free parking on premises"", ""Refrigerator"", ""Hot tub"", ""First aid kit"", ""Fire extinguisher"", ""Dishes and silverware"", ""Bathtub"", ""EV charger"", ""BBQ grill"", ""Washer"", ""Children\u2019s books and toys"", ""Coffee maker"", ""Crib"", ""TV"", ""Pack \u2019n play/Travel crib"", ""Wifi"", ""Game console"", ""Baby bath"", ""Dryer"", ""Smoke alarm"", ""Dishwasher"", ""Heating"", ""Microwave"", ""Oven"", ""Backyard"", ""Window guards"", ""Pets allowed"", ""Kitchen"", ""Table corner guards"", ""Changing table"", ""High chair"", ""Stove"", ""Children\u2019s dinnerware"", ""Shampoo""]","$9,346.00",100,365,100,100,365,365,100.0,365.0,,t,30,60,90,365,2024-09-28,35,0,0,2011-07-25,2014-10-26,4.87,4.88,4.94,4.79,4.88,4.79,4.88,,t,2,2,0,0,0.22
21,760266,https://www.airbnb.com/rooms/760266,20240928012050,2024-09-28,city scrape,In the heart of the city,Guests are usually greeted with a warm welcome and introduction to the city by me personally. Guests love the proximity to city centre and all public transport. They also enjoy the vibrant multicultural life with affordable dining options on the footsteps.,"Grønland - District in Oslo<br />In lively, multicultural Greenland, there are many shops with food from the Middle East and restaurants that sell kebabs and børek. Informal venues serving curries, laid-back pubs and lively dance clubs can also be found in the area. And nearby is Oslo Spektrum, a huge indoor arena where there are often concerts with great artists. Greenland Bazaar is a small shopping center in the middle of Greenland, and not far away is Oslo City, a large shopping center with many different shops.",https://a0.muscache.com/pictures/miso/Hosting-760266/original/ae221eaa-02b2-48e0-8965-e4d543da9f81.jpeg,3996622,https://www.airbnb.com/users/show/3996622,Per Martin,2012-10-28,"Oslo, Norway","Welcome to my home. 

Over the past 10 years I have hosted thousands of fellow earthlings from all over Gaia and come to know many of them and their cultures. 

It is incredibly inspirational being a host and I feel the world is coming closer as one with greater respect and understanding for each other.

Not surprisingly, I also love to travel, meet new people and their cultures but until now I have mostly only traveled in the far east and I have not yet crossed the dam.

If you desire I will also spend time with you, socializing and showing you the city. Use me as a guide or someone just to hang out with :)

“A journey of a thousand miles must begin with a single step.” 老子",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/bd1d5b36-4398-4622-9d81-5c92275da0cb.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/bd1d5b36-4398-4622-9d81-5c92275da0cb.jpg?aki_policy=profile_x_medium,Gamle Oslo,1,4,"['email', 'phone']",t,t,"Oslo, Norway",Gamle Oslo,,59.912159,10.760248,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,2.0,"[""Essentials"", ""Dedicated workspace"", ""Paid parking off premises"", ""Elevator"", ""Dishes and silverware"", ""Free washer \u2013 In unit"", ""BBQ grill"", ""Iron"", ""Hot water"", ""Wifi"", ""Hair dryer"", ""Paid parking on premises"", ""Luggage dropoff allowed"", ""Single level home"", ""Smoke alarm"", ""Heating"", ""Hangers"", ""Host greets you"", ""Lock on bedroom door"", ""Backyard"", ""Free dryer \u2013 In unit"", ""Outdoor furniture"", ""Shampoo""]","$1,429.00",1,3,1,1,1125,1125,1.0,1125.0,,t,26,53,82,357,2024-09-28,942,114,5,2012-12-15,2024-09-12,4.71,4.77,4.71,4.85,4.87,4.73,4.73,,t,1,0,1,0,6.56
35,1226982,https://www.airbnb.com/rooms/1226982,20240928012050,2024-09-28,city scrape,Most exciting area in Oslo (modern/new building),"Enjoy this modern apartment in a new building in the most lively and ""up and coming"" area of Oslo. There are plenty of bars and restaurants nearby and all of Oslo is within walking distance.","The area is the most ""up and coming"" area of oslo and is undergoing exciting gentrification. New bars and restaurants open ""every day"". Check out Torggata and Youngstorget.",https://a0.muscache.com/pictures/f6439e10-567d-47ef-9afa-2f1577e06463.jpg,15921981,https://www.airbnb.com/users/show/15921981,William,2014-05-24,"Oslo, Norway","Norwegian, globetrotter.
International perspective. Lived 6 years in the USA, and about 2 years in Uruguay. 
Hosting in Oslo. A clean, quiet, mature guest world-wide.
Loves to seek out new restaurants, get to know some locals, learn about local cultures and history.",,,,f,https://a0.muscache.com/im/pictures/user/5f8514ec-3e79-41da-84b8-da75cf1ab4be.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/5f8514ec-3e79-41da-84b8-da75cf1ab4be.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Oslo, Norway",St. Hanshaugen,,59.91756,10.75312,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,1.0,"[""Fast wifi \u2013 85 Mbps"", ""Cooking basics"", ""Essentials"", ""Outdoor furniture"", ""Long term stays allowed"", ""Dedicated workspace"", ""Refrigerator"", ""Paid parking off premises"", ""Elevator"", ""Bed linens"", ""Fire extinguisher"", ""Dishes and silverware"", ""Lockbox"", ""EV charger"", ""Free washer \u2013 In unit"", ""Iron"", ""Hot water"", ""Coffee maker"", ""Private patio or balcony"", ""Hair dryer"", ""Shared backyard \u2013 Fully fenced"", ""Self check-in"", ""Paid parking on premises"", ""Luggage dropoff allowed"", ""Single level home"", ""Smoke alarm"", ""Dishwasher"", ""Heating"", ""Hangers"", ""Beach access \u2013 Beachfront"", ""Microwave"", ""Oven"", ""42 inch HDTV with Chromecast, HBO Max, premium cable, standard cable"", ""Kitchen"", ""Ethernet connection"", ""Extra pillows and blankets"", ""Stove"", ""Shampoo""]","$1,043.00",1,1125,1,2,1125,1125,1.3,1125.0,,t,16,32,39,125,2024-09-28,304,29,4,2017-10-15,2024-09-16,4.89,4.92,4.83,4.99,4.99,4.9,4.81,,t,1,1,0,0,3.59
42,1310319,https://www.airbnb.com/rooms/1310319,20240928012050,2024-09-28,city scrape,Stylish flat in the embassy area,"Spacious and attractive apartment centrally located in Oslo. The huge apartment is situated in the embassy area, near popular Vigeland Sculpture park.<br />I do live in the apartment","From Wikipedia:<br />Frogner is a borough and an exclusive residential and retail district in the West End of the city of Oslo, Norway. In addition to traditional Frogner, the borough incorporates Bygdøy, Uranienborg and Majorstuen. The borough is named after Frogner Manor, and the famous Frogner Park is now found on the site of the manor. In Oslo, and indeed in Norwegian popular culture, Frogner occupies a similar position as London's Knightsbridge, and has the highest real estate prices in the entire country.<br /><br />FROGNERPARKEN is the biggest park in the central parts of Oslo. It is a popular recreational area for both its neighbours and people from other parts of Oslo. On a nice summer day, the park is full of people; here you can go for a run, walk the dog, have a picnic or barbecue, play badminton or just do some sunbathing. Frognerparken has Norway's biggest collection of roses; a total of 14,000 plants of 150 different species.<br /><br />On the BYGDØY peninsula are locate",https://a0.muscache.com/pictures/a0af6e70-f8b2-4ed5-a5ff-c3d3b2a76e36.jpg,7121844,https://www.airbnb.com/users/show/7121844,Line K.,2013-06-26,"Oslo, Norway","Hei, 
jeg heter Line og er oppvokst i Oslo. Jeg bor i en stor leilighet på Frogner. 
Jeg er utadvent, positiv og lett å omgås. Jeg gir mer enn gjerne tips og anbefalinger om hva man kan gjøre til mine AIRBNB-gjester.",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/850dca30-f39c-496b-8484-b8f23588f980.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/850dca30-f39c-496b-8484-b8f23588f980.jpg?aki_policy=profile_x_medium,Frogner,2,2,"['email', 'phone', 'work_email']",t,t,"Oslo, Norway",Frogner,,59.91951,10.70458,Private room in condo,Private room,2,1.0,1 private bath,1.0,1.0,"[""Wine glasses"", ""Cooking basics"", ""Clothing storage"", ""Essentials"", ""Blender"", ""Body soap"", ""Indoor fireplace"", ""Freezer"", ""Long term stays allowed"", ""Dedicated workspace"", ""Refrigerator"", ""Bidet"", ""Paid parking off premises"", ""Elevator"", ""Bed linens"", ""Fire extinguisher"", ""Safe"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Free dryer"", ""Iron"", ""Hot water"", ""Conditioner"", ""Coffee maker"", ""Hot water kettle"", ""Hair dryer"", ""Baking sheet"", ""Fast wifi \u2013 86 Mbps"", ""Pocket wifi"", ""Cleaning products"", ""Luggage dropoff allowed"", ""Free washer"", ""Single level home"", ""Smoke alarm"", ""Dishwasher"", ""Heating"", ""Hangers"", ""Microwave"", ""Toaster"", ""Host greets you"", ""Shower gel"", ""Oven"", ""Kitchen"", ""Induction stove"", ""Extra pillows and blankets"", ""Dining table"", ""Coffee"", ""Shampoo""]",$900.00,1,60,1,1,1125,1125,1.0,1125.0,,t,24,54,77,344,2024-09-28,567,33,6,2013-08-15,2024-09-22,4.9,4.94,4.82,4.97,4.98,4.92,4.89,,t,2,0,2,0,4.19
61,1771222,https://www.airbnb.com/rooms/1771222,20240928012050,2024-09-28,city scrape,Huge room - Vigeland Sculpturepark - Oslo,"Im currently renovating the bathroom. In June/July the listing will be reopened with a new privat attached bathroom ( en suite).<br /><br />Large room in a very large apartment at Frogner. The apartment is 220 sqm.<br />The apartment is beautifully decorated with original art and some antiques. Frogner is Oslo's embassy district, it is a quiet and safe area. Very good and comfortable double bed.<br />The place is easily accessible from both the airport and Oslo Central Station","Frogner is one of Oslo’s most desirable neighborhoods, offering a rich history, beautiful architecture, and a lively social scene. With its upscale shopping, top-rated restaurants, and beautiful parks, Frogner is a great place to live or visit for anyone looking to experience the best of Oslo<br /><br />Frogner Park and Vigeland Sculpture park:<br />A gigantic green lung covering almost 500,000 square meters in the middle of the city, the Frogner Park is a great place for a relaxing stroll, or tranquil picnic. If you want to see more than greenery however, visitors have free access to the Vigeland installation – the largest sculpture park in the world created by Gustav Vigeland. With over 200 bronze and granite sculptures depicting the human condition adorning walkways, and the eye-catching Monolith towering on the top plateau, the Frogner Park is a spectacular attraction in both the summer and winter seasons.",https://a0.muscache.com/pictures/miso/Hosting-1771222/original/42dba047-bce4-4993-bfcf-939df4a52c78.jpeg,7121844,https://www.airbnb.com/users/show/7121844,Line K.,2013-06-26,"Oslo, Norway","Hei, 
jeg heter Line og er oppvokst i Oslo. Jeg bor i en stor leilighet på Frogner. 
Jeg er utadvent, positiv og lett å omgås. Jeg gir mer enn gjerne tips og anbefalinger om hva man kan gjøre til mine AIRBNB-gjester.",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/850dca30-f39c-496b-8484-b8f23588f980.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/850dca30-f39c-496b-8484-b8f23588f980.jpg?aki_policy=profile_x_medium,Frogner,2,2,"['email', 'phone', 'work_email']",t,t,"Oslo, Norway",Frogner,,59.92005157470703,10.703656196594238,Private room in condo,Private room,2,1.0,1 private bath,1.0,1.0,"[""Wine glasses"", ""Cooking basics"", ""Blender"", ""Essentials"", ""Body soap"", ""Fast wifi \u2013 80 Mbps"", ""Freezer"", ""Long term stays allowed"", ""Dedicated workspace"", ""Refrigerator"", ""Paid parking off premises"", ""Elevator"", ""TV with standard cable"", ""Bed linens"", ""Safe"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Washer"", ""Iron"", ""Hot water"", ""Conditioner"", ""Hot water kettle"", ""Hair dryer"", ""Baking sheet"", ""Coffee maker: Nespresso"", ""Luggage dropoff allowed"", ""Dryer"", ""Smoke alarm"", ""Dishwasher"", ""Heating"", ""Microwave"", ""Toaster"", ""Host greets you"", ""Oven"", ""Kitchen"", ""Extra pillows and blankets"", ""Stove"", ""Dining table"", ""Coffee"", ""Shampoo""]",$953.00,1,1125,1,1,1125,1125,1.0,1125.0,,t,15,45,70,331,2024-09-28,410,48,11,2013-11-05,2024-09-24,4.94,4.96,4.85,4.99,4.99,4.95,4.94,,t,2,0,2,0,3.09
81,2230300,https://www.airbnb.com/rooms/2230300,20240928012050,2024-09-28,city scrape,Cosy and practical room in the middle of the city,"My apartment is located in a vibrant neighbourhood in walking distance from Oslo Central Station. The historical building is listed -but the apartment is fairly modern. It’s suitable for couples (or two friends who don’t mind sharing a bed), solo travellers and business travellers. <br />No matter what your race, colour, ethnicity, national origin, religion, sexual orientation, gender identity or marital status is - you are welcome to stay here as long as you please.","Grønland is a vibrant, up-and-coming neighbourhood with a young population. There are a dozen places to get your coffee, lots of different restaurants serving you food from all parts of the world, a couple of breweries for those who drink beer, art galleries, parks, gyms, museums etc.",https://a0.muscache.com/pictures/8b93c696-5c64-4f1f-a033-79c849105801.jpg,11383927,https://www.airbnb.com/users/show/11383927,Eirik,2014-01-17,,"Laidback guy, living in the middle of Oslo. Studied interior architecture. My main interests revolve around art, architecture, photography, music and movies. I love good food, a glass of wine and meeting new people.",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/3946c3cc-fb18-4b42-9509-809f7b11f945.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/3946c3cc-fb18-4b42-9509-809f7b11f945.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Oslo, Norway",Gamle Oslo,,59.91162,10.76263,Private room in condo,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Wine glasses"", ""Cooking basics"", ""Blender"", ""Essentials"", ""Body soap"", ""Freezer"", ""Long term stays allowed"", ""Refrigerator"", ""Paid parking off premises"", ""Books and reading material"", ""BBQ grill: charcoal"", ""Bed linens"", ""Fire extinguisher"", ""Record player"", ""Dishes and silverware"", ""Lockbox"", ""Free washer \u2013 In unit"", ""Iron"", ""Hot water"", ""Conditioner"", ""Shared beach access"", ""Fast wifi \u2013 99 Mbps"", ""Hot water kettle"", ""Hair dryer"", ""Shared backyard \u2013 Fully fenced"", ""Self check-in"", ""Cleaning products"", ""Paid parking on premises"", ""Shared gym nearby"", ""Smoke alarm"", ""Dishwasher"", ""Heating"", ""Toaster"", ""Host greets you"", ""Shower gel"", ""Pioneer sound system"", ""Oven"", ""Kitchen"", ""65 inch HDTV with Apple TV, HBO Max, Netflix, DVD player"", ""Extra pillows and blankets"", ""Stove"", ""Dining table"", ""Coffee"", ""Shampoo""]",$586.00,2,1125,2,2,1125,1125,2.0,1125.0,,t,30,60,90,180,2024-09-28,339,48,5,2017-09-03,2024-09-22,4.85,4.9,4.67,4.93,4.97,4.9,4.83,,t,1,0,1,0,3.94
124,3322677,https://www.airbnb.com/rooms/3322677,20240928012050,2024-09-28,city scrape,City center of  Oslo- Apt 2 bedroom Apt,"Perfect for business/leisure. Balcony overlooking the shopping area. High-speed, wireless. Easy access to meet friends and colleagues, as this homely apt is situated within minutes walking distance to the central train station, central Bus station etc.  <br />It is a 54 sq 2bedroom, Bedroom1, is small with a double bed, bedroom 2, a small double bed and  single bed, with a double sleeping sofa.  A living room, with open kitchen. Large bathroom.  Home for very relaxing feelings after a hard day work.","Very central,friendly and safe neighborhood. It is 1 or 2 min walk  to the (URL HIDDEN)<br />The central bus station, the central station. 5 mins walk to the opera house, the Botanical garden, there are many restaurants, coffee shops, shopping center, etc. it is the right place if you want a city experience of Norway, at the same time very safe and quite.",https://a0.muscache.com/pictures/cd36c241-4072-4541-ae02-368a4a99cf4c.jpg,1386261,https://www.airbnb.com/users/show/1386261,Gangadai,2011-11-08,"Oslo, Norway","Being a social person, I also love to meet people. I have lived in Oslo for over  40 yrs and would say that I dearly love the city life of Oslo,  nature, the ocean, being social and meeting people, is the spice of my life. I have done some traveling to the USA, Canada, Germany, London, Sweden, Brasil, the Carribbean, Guyana is my birth country. I love travelling,music ,all sorts of food. It enjoy meeting people, and seeing smiles from their heart",within a day,100%,86%,f,https://a0.muscache.com/im/pictures/user/2ac0cec7-85b7-4539-9646-d94fa9e66bb6.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/2ac0cec7-85b7-4539-9646-d94fa9e66bb6.jpg?aki_policy=profile_x_medium,,5,8,"['email', 'phone']",t,t,"Oslo, Norway",Gamle Oslo,,59.91178,10.75989,Entire rental unit,Entire home/apt,6,1.0,1 bath,2.0,4.0,"[""Wine glasses"", ""Room-darkening shades"", ""45 inch TV with standard cable"", ""City skyline view"", ""Cooking basics"", ""Beach view"", ""Blender"", ""Essentials"", ""Outdoor furniture"", ""Body soap"", ""Freezer"", ""Trash compactor"", ""Long term stays allowed"", ""Clothing storage: wardrobe and dresser"", ""Refrigerator"", ""Elevator"", ""BBQ grill: charcoal"", ""Bed linens"", ""Fire extinguisher"", ""Electric stove"", ""Safe"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Lockbox"", ""Free washer \u2013 In unit"", ""Iron"", ""Shared patio or balcony"", ""Drying rack for clothing"", ""Private backyard \u2013 Fully fenced"", ""Hot water"", ""Shared beach access"", ""Hot water kettle"", ""Hair dryer"", ""Cleaning available during stay"", ""Outdoor dining area"", ""Self check-in"", ""Cleaning products"", ""Paid parking on premises"", ""Luggage dropoff allowed"", ""Single level home"", ""Smoke alarm"", ""Dishwasher"", ""Hangers"", ""Paid street parking off premises"", ""Central heating"", ""Microwave"", ""Shower gel"", ""Oven"", ""Window guards"", ""Kitchen"", ""Ethernet connection"", ""Extra pillows and blankets"", ""Dining table""]","$1,843.00",1,100,1,1,1125,1125,1.0,1125.0,,t,27,51,55,325,2024-09-28,121,1,0,2014-12-11,2024-04-01,4.52,4.7,4.45,4.79,4.83,4.63,4.39,,t,3,3,0,0,1.01
167,4473021,https://www.airbnb.com/rooms/4473021,20240928012050,2024-09-28,city scrape,Bright and Modern Apartment,"Welcome to our modern and comfortable apartment, perfect for a relaxing stay in the city. The apartment is furnished with bright and calm colors, providing a relaxed atmosphere. There is a cozy living room with a comfortable sofa, a well-equipped kitchen, and a spacious bedroom with a comfortable bed. The bathroom is newly renovated and equipped with modern amenities.","If you choose to go fit or unwind yourself, fitness center, hairdresser, coffee shop and restaurant are available within the apartment compound. Other facilities such as a grousery and public tram shelter (every 5 minutes) are just 5 minutes from the apartment.",https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NDQ3MzAyMQ%3D%3D/original/43330701-500a-4c07-938c-ef448cdedb3c.jpeg,23206026,https://www.airbnb.com/users/show/23206026,Ole,2014-11-01,"Oslo, Norway",Teacher in Norway that loves to travel the world and to meet new people! ,within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/User-23206026/original/dc34e71c-2e72-4501-901a-fa53bd4621d5.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-23206026/original/dc34e71c-2e72-4501-901a-fa53bd4621d5.jpeg?aki_policy=profile_x_medium,Gamle Oslo,3,4,"['email', 'phone']",t,t,"Oslo, Norway",Gamle Oslo,,59.90394,10.77351,Private room in condo,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Hangers"", ""Bed linens"", ""Fire extinguisher"", ""Wifi"", ""Elevator"", ""Essentials"", ""Lockbox"", ""Kitchen"", ""Self check-in"", ""First aid kit"", ""Free parking garage on premises \u2013 1 space"", ""Smoke alarm"", ""Hot water"", ""Shampoo"", ""Heating""]",$800.00,1,17,1,1,17,17,1.0,17.0,,t,23,23,23,23,2024-09-28,9,5,5,2015-02-09,2024-09-24,4.89,4.78,4.67,5.0,4.89,4.67,4.89,,t,2,0,2,0,0.08
177,4793883,https://www.airbnb.com/rooms/4793883,20240928012050,2024-09-28,city scrape,Cozy and Modern Apartment in Oslo,"Modern apartment with a newly renovated bathroom. Bright and cozy, just a short walk from Oslo Central Station. Perfect for a relaxing city getaway!","If you choose to go fit or unwind yourself, fitness center, hairdresser, coffee shop and restaurant are available within the apartment compound. Other facilities such as a grocery and public tram shelter (every 5 minutes) are just 5 minutes from the apartment.",https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NDc5Mzg4Mw%3D%3D/original/c270471f-6e3b-49b4-8ef5-084d8a6b2c6d.jpeg,23206026,https://www.airbnb.com/users/show/23206026,Ole,2014-11-01,"Oslo, Norway",Teacher in Norway that loves to travel the world and to meet new people! ,within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/User-23206026/original/dc34e71c-2e72-4501-901a-fa53bd4621d5.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-23206026/original/dc34e71c-2e72-4501-901a-fa53bd4621d5.jpeg?aki_policy=profile_x_medium,Gamle Oslo,3,4,"['email', 'phone']",t,t,"Oslo, Norway",Gamle Oslo,,59.9026,10.77463,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Wine glasses"", ""Cooking basics"", ""Essentials"", ""Freezer"", ""Refrigerator"", ""First aid kit"", ""Paid parking off premises"", ""Elevator"", ""Bed linens"", ""Fire extinguisher"", ""Shared backyard \u2013 Not fully fenced"", ""Dishes and silverware"", ""Lockbox"", ""Iron"", ""Private living room"", ""Clothing storage: closet and dresser"", ""Hot water"", ""Coffee maker"", ""Wifi"", ""Hot water kettle"", ""Hair dryer"", ""Self check-in"", ""Pocket wifi"", ""Paid parking on premises"", ""Free washer"", ""Smoke alarm"", ""Dishwasher"", ""Heating"", ""Private entrance"", ""Microwave"", ""Shower gel"", ""Oven"", ""Lock on bedroom door"", ""Kitchen"", ""Extra pillows and blankets"", ""Stove"", ""Dining table"", ""Coffee"", ""Shampoo""]",$507.00,3,24,3,3,1125,1125,3.0,1125.0,,t,26,28,28,28,2024-09-28,134,5,3,2014-12-17,2024-09-09,4.76,4.84,4.67,4.84,4.83,4.69,4.77,,t,2,0,2,0,1.12
198,5366696,https://www.airbnb.com/rooms/5366696,20240928012050,2024-09-28,previous scrape,Corner park view - Grünerløkka - whole apartment!,"Bright, sunny, spacious two-bedroom apartment in Oslo's best neighborhood, Grünerløkka! South-facing views over Dælenengga parken. Elevator access. Close to transportation and the city center.","The lively neighborhood Grünerløkka is directly adjacent to the city center with many cafés, bars, restaurants, parks, and summer events.",https://a0.muscache.com/pictures/miso/Hosting-5366696/original/9fd36ceb-6b1f-450e-9858-83f57efc0f49.jpeg,7107208,https://www.airbnb.com/users/show/7107208,Hunter,2013-06-25,"Oslo, Norway",I'm an architect living and working in Oslo.,within an hour,100%,100%,t,https://a0.muscache.com/im/users/7107208/profile_pic/1420927474/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/7107208/profile_pic/1420927474/original.jpg?aki_policy=profile_x_medium,Grünerløkka,1,2,"['email', 'phone']",t,t,"Oslo, Norway",Grünerløkka,,59.92799,10.76326,Entire rental unit,Entire home/apt,4,,1 bath,2.0,,"[""Wine glasses"", ""Patio or balcony"", ""Cooking basics"", ""Essentials"", ""Freezer"", ""Refrigerator"", ""First aid kit"", ""Coffee maker: espresso machine"", ""Paid parking off premises"", ""Books and reading material"", ""Elevator"", ""Bed linens"", ""Fire extinguisher"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Washer"", ""Iron"", ""Drying rack for clothing"", ""Hot water"", ""Children\u2019s books and toys for ages 2-5 years old and 5-10 years old"", ""TV"", ""Wifi"", ""Hot water kettle"", ""Hair dryer"", ""Baking sheet"", ""Dryer"", ""Smoke alarm"", ""Dishwasher"", ""Heating"", ""Hangers"", ""Clothing storage: closet"", ""Toaster"", ""Oven"", ""Backyard"", ""Pets allowed"", ""Kitchen"", ""Ethernet connection"", ""Extra pillows and blankets"", ""Stove"", ""Dining table""]",,3,14,3,3,1125,1125,3.0,1125.0,,t,0,0,0,0,2024-09-28,53,7,1,2018-07-06,2024-09-01,4.7,4.91,4.72,4.77,4.92,4.92,4.75,,t,1,1,0,0,0.7
